NAME,KMEANS_CAT4
Pompei-August-Mau-1-down.jpg,1
Pompei-August-Mau-1-up.jpg,1
_113_G_Abbate_Casa_del_Poeta_Tragico_Back_north_wall_triclinium.jpg,1
_120_G_Abbate_Casa_dei_Dioscuri_cubiculum.jpg,1
_153_G_Abbate_Casa_di_Sirico_Triclinium_front_part.jpg,1
_177_G_Abbate_Casa_di_Marco_Lucrezio_Cubiculum_beside_atrium_north_wall.jpg,2
_183_G_Abbate_Casa_di_Marco_Lucrezio_triclinium_east_wall.jpg,4
_228_A_Carli_Villa_di_Diomede_room_42.jpg,1
_268_sides_A_Carli_Casa_di_Modesto_tablinum_or_Regio_VI_Insula_occidentalis-1.jpg,1
_289_C_Weidenmuller_Casa_della_Regina_Carolina_VIII_3_14.jpg,1
_297_V_Mollame_Villa_di_Diomede.jpg,4
_299_V_Loria_Casa_del_Gallo_middle_part_south_wall_cubiculum.jpg,1
_302_V_Loria_origin_unknown.jpg,2
_303_V_Loria_Casa_del_Labirinto_caldarium.jpg,1
_310_sides_V_Loria_Casa_della_Parete_nera_Casa_dei_Bronzi_oecus_west_walll-1.jpg,1
_310_sides_V_Loria_Casa_della_Parete_nera_Casa_dei_Bronzi_oecus_west_walll-2.jpg,1
_315_V_Loria_Casa_della_Caccia_antica_room_beside_peristyle_south_wall.jpg,1
_323_V_Loria_Casa_di_Laocoonte_detail_atrium_south_wall.jpg,1
_327_V_Loria_Casa_dell_Ancora_cubiculum_west_wall.jpg,1
_328_sides_V_Loria_Casa_di_Vesonius_Primus_Casa_di_Ofreo-1.jpg,1
_328_sides_V_Loria_Casa_di_Vesonius_Primus_Casa_di_Ofreo-2.jpg,1
_339_V_Loria_Casa_della_fontana_piccola_tablinum_west_wall.jpg,1
_345_V_Loria_Casa_di_Adone_ferito_oecus_half_east_wall.jpg,2
_350_V_Loria_Casa_IX_5_6_17_tablinum_middle_section_east_wall.jpg,4
_380_sides_V_Loria_Casa_del_Centenario_triclinium_west_wall-1.jpg,2
_380_sides_V_Loria_Casa_del_Centenario_triclinium_west_wall-2.jpg,2
_388_sides_V_Loria_Casa_della_Fortuna_oecus_west_wall_middle_section-1.jpg,1
_388_sides_V_Loria_Casa_della_Fortuna_oecus_west_wall_middle_section-2.jpg,1
_422_G_Discanno_Villa_di_Diomede_detail_caldarium.jpg,4
_426_sides_G_Discanno_Casa_delle_Amazzoni_triclinium_north_wall-1.jpg,1
_426_sides_G_Discanno_Casa_delle_Amazzoni_triclinium_north_wall-2.jpg,1
_429_G_Discanno_Casa_della_Caccia_antica.jpg,2
_432_sides_G_Discanno_no_location_compilation-1.jpg,1
_432_sides_G_Discanno_no_location_compilation-2.jpg,1
_43_Jules_Frederic_Bouchet_Cassa_del_Poeta_tragico_triclinium_north_wall_purchase_of_erotes.jpg,1
_444_V_Mollame_Scavo_del_Principe_di_Montenegro.jpg,1
_445_V_Mollame_Accademia_di_Musica_triclinium_middle_section.jpg,1
_448_V_Mollame_House_from_Regio_VI.jpg,4
_449_D_Capri_Casa_di_Epidius_Sabinus.jpg,2
_450_A_Magliano_Casa_degli_Epigrammi_greci_triclinium.jpg,3
